Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Male
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Prostate","Age 50","Age <br/>35",
"Prostate","Age 50","Age <br/>40",
"Prostate","Age 50","Age <br/>45",
"Prostate","Age 50","Age <br/>50",
"Prostate","Age 50","Age <br/>55",0.559
"Prostate","Age 50","Age <br/>60",1.684
"Prostate","Age 50","Age <br/>65",3.466
"Prostate","Age 50","Age <br/>70",5.876
"Prostate","Age 50","Age <br/>75",8.149
"Prostate","Age 50","Age <br/>80",9.848
"Prostate","Age 50","Age <br/>85",10.879
"Prostate","Age 50","Age <br/>90",11.459
"Prostate","Age 50","Age <br/>95",11.718
"Prostate","Age 50","Age <br/>95+",11.829
"Prostate","Age 55","Age <br/>5",
"Prostate","Age 55","Age <br/>10",
"Prostate","Age 55","Age <br/>15",
"Prostate","Age 55","Age <br/>20",
"Prostate","Age 55","Age <br/>25",
"Prostate","Age 55","Age <br/>30",
"Prostate","Age 55","Age <br/>35",
"Prostate","Age 55","Age <br/>40",
"Prostate","Age 55","Age <br/>45",
"Prostate","Age 55","Age <br/>50",
"Prostate","Age 55","Age <br/>55",
"Prostate","Age 55","Age <br/>60",1.164
"Prostate","Age 55","Age <br/>65",3.008
"Prostate","Age 55","Age <br/>70",5.503
"Prostate","Age 55","Age <br/>75",7.855
"Prostate","Age 55","Age <br/>80",9.613
"Prostate","Age 55","Age <br/>85",10.680
"Prostate","Age 55","Age <br/>90",11.280
"Prostate","Age 55","Age <br/>95",11.548
"Prostate","Age 55","Age <br/>95+",11.663
"Prostate","Age 60","Age <br/>5",
"Prostate","Age 60","Age <br/>10",
"Prostate","Age 60","Age <br/>15",
"Prostate","Age 60","Age <br/>20",
"Prostate","Age 60","Age <br/>25",
"Prostate","Age 60","Age <br/>30",
"Prostate","Age 60","Age <br/>35",
"Prostate","Age 60","Age <br/>40",
"Prostate","Age 60","Age <br/>45",
"Prostate","Age 60","Age <br/>50",
"Prostate","Age 60","Age <br/>55",
"Prostate","Age 60","Age <br/>60",
"Prostate","Age 60","Age <br/>65",1.949
"Prostate","Age 60","Age <br/>70",4.585
"Prostate","Age 60","Age <br/>75",7.070
"Prostate","Age 60","Age <br/>80",8.929
"Prostate","Age 60","Age <br/>85",10.056
"Prostate","Age 60","Age <br/>90",10.690
"Prostate","Age 60","Age <br/>95",10.974
"Prostate","Age 60","Age <br/>95+",11.095
"Prostate","Age 65","Age <br/>5",
"Prostate","Age 65","Age <br/>10",
"Prostate","Age 65","Age <br/>15",
"Prostate","Age 65","Age <br/>20",
"Prostate","Age 65","Age <br/>25",
"Prostate","Age 65","Age <br/>30",
"Prostate","Age 65","Age <br/>35",
"Prostate","Age 65","Age <br/>40",
"Prostate","Age 65","Age <br/>45",
"Prostate","Age 65","Age <br/>50",
"Prostate","Age 65","Age <br/>55",
"Prostate","Age 65","Age <br/>60",
"Prostate","Age 65","Age <br/>65",
"Prostate","Age 65","Age <br/>70",2.861
"Prostate","Age 65","Age <br/>75",5.559
"Prostate","Age 65","Age <br/>80",7.575
